"customer_id","first_name","last_name","email","address_id","active"
"1","MARY","SMITH","MARY.SMITH@sakilacustomer.org","5","False"
"2","PATRICIA","JOHNSON","PATRICIA.JOHNSON@sakilacustomer.org","6","False"
"3","LINDA","WILLIAMS","LINDA.WILLIAMS@sakilacustomer.org","7","True"
"4","BARBARA","JONES","BARBARA.JONES@sakilacustomer.org","8","False"
"5","ELIZABETH","BROWN","ELIZABETH.BROWN@sakilacustomer.org","9","True"
"6","JENNIFER","DAVIS","JENNIFER.DAVIS@sakilacustomer.org","10","True"
"7","MARIA","MILLER","MARIA.MILLER@sakilacustomer.org","11","True"
"8","SUSAN","WILSON","SUSAN.WILSON@sakilacustomer.org","12","True"
"9","MARGARET","MOORE","MARGARET.MOORE@sakilacustomer.org","13","True"
"10","DOROTHY","TAYLOR","DOROTHY.TAYLOR@sakilacustomer.org","14","True"
"11","LISA","ANDERSON","LISA.ANDERSON@sakilacustomer.org","15","True"
"12","NANCY","THOMAS","NANCY.THOMAS@sakilacustomer.org","16","True"
"13","KAREN","JACKSON","KAREN.JACKSON@sakilacustomer.org","17","False"
"14","BETTY","WHITE","BETTY.WHITE@sakilacustomer.org","18","True"
"15","HELEN","HARRIS","HELEN.HARRIS@sakilacustomer.org","19","True"
"16","SANDRA","MARTIN","SANDRA.MARTIN@sakilacustomer.org","20","False"
"17","DONNA","THOMPSON","DONNA.THOMPSON@sakilacustomer.org","21","False"
"18","CAROL","GARCIA","CAROL.GARCIA@sakilacustomer.org","22","True"
"19","RUTH","MARTINEZ","RUTH.MARTINEZ@sakilacustomer.org","23","True"
"20","SHARON","ROBINSON","SHARON.ROBINSON@sakilacustomer.org","24","True"
"21","MICHELLE","CLARK","MICHELLE.CLARK@sakilacustomer.org","25","False"
"22","LAURA","RODRIGUEZ","LAURA.RODRIGUEZ@sakilacustomer.org","26","True"
"23","SARAH","LEWIS","SARAH.LEWIS@sakilacustomer.org","27","False"
"24","KIMBERLY","LEE","KIMBERLY.LEE@sakilacustomer.org","28","False"
"25","DEBORAH","WALKER","DEBORAH.WALKER@sakilacustomer.org","29","True"
"26","JESSICA","HALL","JESSICA.HALL@sakilacustomer.org","30","True"
"27","SHIRLEY","ALLEN","SHIRLEY.ALLEN@sakilacustomer.org","31","True"
"28","CYNTHIA","YOUNG","CYNTHIA.YOUNG@sakilacustomer.org","32","False"
"29","ANGELA","HERNANDEZ","ANGELA.HERNANDEZ@sakilacustomer.org","33","True"
"30","MELISSA","KING","MELISSA.KING@sakilacustomer.org","34","False"
"31","BRENDA","WRIGHT","BRENDA.WRIGHT@sakilacustomer.org","35","True"
"32","AMY","LOPEZ","AMY.LOPEZ@sakilacustomer.org","36","False"
"33","ANNA","HILL","ANNA.HILL@sakilacustomer.org","37","True"
"34","REBECCA","SCOTT","REBECCA.SCOTT@sakilacustomer.org","38","True"
"35","VIRGINIA","GREEN","VIRGINIA.GREEN@sakilacustomer.org","39","True"
"36","KATHLEEN","ADAMS","KATHLEEN.ADAMS@sakilacustomer.org","40","False"
"37","PAMELA","BAKER","PAMELA.BAKER@sakilacustomer.org","41","True"
"38","MARTHA","GONZALEZ","MARTHA.GONZALEZ@sakilacustomer.org","42","True"
"39","DEBRA","NELSON","DEBRA.NELSON@sakilacustomer.org","43","False"
"40","AMANDA","CARTER","AMANDA.CARTER@sakilacustomer.org","44","True"
"41","STEPHANIE","MITCHELL","STEPHANIE.MITCHELL@sakilacustomer.org","45","True"
"42","CAROLYN","PEREZ","CAROLYN.PEREZ@sakilacustomer.org","46","True"
"43","CHRISTINE","ROBERTS","CHRISTINE.ROBERTS@sakilacustomer.org","47","True"
"44","MARIE","TURNER","MARIE.TURNER@sakilacustomer.org","48","False"
"45","JANET","PHILLIPS","JANET.PHILLIPS@sakilacustomer.org","49","True"
"46","CATHERINE","CAMPBELL","CATHERINE.CAMPBELL@sakilacustomer.org","50","False"
"47","FRANCES","PARKER","FRANCES.PARKER@sakilacustomer.org","51","False"
"48","ANN","EVANS","ANN.EVANS@sakilacustomer.org","52","True"
"49","JOYCE","EDWARDS","JOYCE.EDWARDS@sakilacustomer.org","53","False"
"50","DIANE","COLLINS","DIANE.COLLINS@sakilacustomer.org","54","True"
"51","ALICE","STEWART","ALICE.STEWART@sakilacustomer.org","55","True"
"52","JULIE","SANCHEZ","JULIE.SANCHEZ@sakilacustomer.org","56","True"
"53","HEATHER","MORRIS","HEATHER.MORRIS@sakilacustomer.org","57","True"
"54","TERESA","ROGERS","TERESA.ROGERS@sakilacustomer.org","58","True"
"55","DORIS","REED","DORIS.REED@sakilacustomer.org","59","True"
"56","GLORIA","COOK","GLORIA.COOK@sakilacustomer.org","60","True"
"57","EVELYN","MORGAN","EVELYN.MORGAN@sakilacustomer.org","61","True"
"58","JEAN","BELL","JEAN.BELL@sakilacustomer.org","62","True"
"59","CHERYL","MURPHY","CHERYL.MURPHY@sakilacustomer.org","63","True"
"60","MILDRED","BAILEY","MILDRED.BAILEY@sakilacustomer.org","64","True"
"61","KATHERINE","RIVERA","KATHERINE.RIVERA@sakilacustomer.org","65","True"
"62","JOAN","COOPER","JOAN.COOPER@sakilacustomer.org","66","False"
"63","ASHLEY","RICHARDSON","ASHLEY.RICHARDSON@sakilacustomer.org","67","True"
"64","JUDITH","COX","JUDITH.COX@sakilacustomer.org","68","True"
"65","ROSE","HOWARD","ROSE.HOWARD@sakilacustomer.org","69","False"
"66","JANICE","WARD","JANICE.WARD@sakilacustomer.org","70","True"
"67","KELLY","TORRES","KELLY.TORRES@sakilacustomer.org","71","True"
"68","NICOLE","PETERSON","NICOLE.PETERSON@sakilacustomer.org","72","False"
"69","JUDY","GRAY","JUDY.GRAY@sakilacustomer.org","73","True"
"70","CHRISTINA","RAMIREZ","CHRISTINA.RAMIREZ@sakilacustomer.org","74","True"
"71","KATHY","JAMES","KATHY.JAMES@sakilacustomer.org","75","True"
"72","THERESA","WATSON","THERESA.WATSON@sakilacustomer.org","76","True"
"73","BEVERLY","BROOKS","BEVERLY.BROOKS@sakilacustomer.org","77","True"
"74","DENISE","KELLY","DENISE.KELLY@sakilacustomer.org","78","True"
"75","TAMMY","SANDERS","TAMMY.SANDERS@sakilacustomer.org","79","True"
"76","IRENE","PRICE","IRENE.PRICE@sakilacustomer.org","80","True"
"77","JANE","BENNETT","JANE.BENNETT@sakilacustomer.org","81","True"
"78","LORI","WOOD","LORI.WOOD@sakilacustomer.org","82","True"
"79","RACHEL","BARNES","RACHEL.BARNES@sakilacustomer.org","83","True"
"80","MARILYN","ROSS","MARILYN.ROSS@sakilacustomer.org","84","True"
"81","ANDREA","HENDERSON","ANDREA.HENDERSON@sakilacustomer.org","85","True"
"82","KATHRYN","COLEMAN","KATHRYN.COLEMAN@sakilacustomer.org","86","True"
"83","LOUISE","JENKINS","LOUISE.JENKINS@sakilacustomer.org","87","True"
"84","SARA","PERRY","SARA.PERRY@sakilacustomer.org","88","True"
"85","ANNE","POWELL","ANNE.POWELL@sakilacustomer.org","89","True"
"86","JACQUELINE","LONG","JACQUELINE.LONG@sakilacustomer.org","90","True"
"87","WANDA","PATTERSON","WANDA.PATTERSON@sakilacustomer.org","91","True"
"88","BONNIE","HUGHES","BONNIE.HUGHES@sakilacustomer.org","92","True"
"89","JULIA","FLORES","JULIA.FLORES@sakilacustomer.org","93","True"
"90","RUBY","WASHINGTON","RUBY.WASHINGTON@sakilacustomer.org","94","True"
"91","LOIS","BUTLER","LOIS.BUTLER@sakilacustomer.org","95","True"
"92","TINA","SIMMONS","TINA.SIMMONS@sakilacustomer.org","96","True"
"93","PHYLLIS","FOSTER","PHYLLIS.FOSTER@sakilacustomer.org","97","True"
"94","NORMA","GONZALES","NORMA.GONZALES@sakilacustomer.org","98","False"
"95","PAULA","BRYANT","PAULA.BRYANT@sakilacustomer.org","99","False"
"96","DIANA","ALEXANDER","DIANA.ALEXANDER@sakilacustomer.org","100","True"
"97","ANNIE","RUSSELL","ANNIE.RUSSELL@sakilacustomer.org","101","True"
"98","LILLIAN","GRIFFIN","LILLIAN.GRIFFIN@sakilacustomer.org","102","True"
"99","EMILY","DIAZ","EMILY.DIAZ@sakilacustomer.org","103","True"
"100","ROBIN","HAYES","ROBIN.HAYES@sakilacustomer.org","104","True"
